date,open,close,high,low,volume,amount,ticker
2021-01-04,4.7,4.7,4.71,4.69,2537917,793752016.0,601288
2021-01-05,4.7,4.7,4.7,4.68,2122005,662545248.0,601288
2021-01-06,4.7,4.7,4.71,4.69,2230770,697914304.0,601288
2021-01-07,4.7,4.71,4.72,4.69,2651717,831256704.0,601288
2021-01-08,4.71,4.71,4.72,4.7,1949691,612250752.0,601288
2021-01-11,4.71,4.72,4.73,4.7,2872075,905005936.0,601288
2021-01-12,4.72,4.72,4.73,4.7,2358456,741236464.0,601288
2021-01-13,4.72,4.73,4.74,4.71,2351774,742591648.0,601288
2021-01-14,4.73,4.75,4.77,4.73,2415659,767493088.0,601288
2021-01-15,4.75,4.77,4.81,4.74,4453895,1430323152.0,601288
2021-01-18,4.76,4.76,4.78,4.73,2988215,951438080.0,601288
2021-01-19,4.75,4.77,4.79,4.74,3218256,1027603184.0,601288
2021-01-20,4.76,4.75,4.78,4.74,1930656,614986560.0,601288
2021-01-21,4.75,4.73,4.76,4.73,1756110,556578400.0,601288
2021-01-22,4.73,4.71,4.74,4.71,1649042,518800128.0,601288
2021-01-25,4.71,4.71,4.72,4.7,1718585,538823056.0,601288
2021-01-26,4.71,4.7,4.72,4.7,1593960,500440704.0,601288
2021-01-27,4.71,4.72,4.74,4.7,1673168,527768288.0,601288
2021-01-28,4.71,4.71,4.72,4.7,1376007,431267936.0,601288
2021-01-29,4.71,4.72,4.74,4.7,2348367,739558160.0,601288
2021-02-01,4.72,4.74,4.75,4.71,2121436,670585616.0,601288
2021-02-02,4.75,4.72,4.76,4.72,1571962,497510992.0,601288
2021-02-03,4.72,4.71,4.73,4.71,1520664,478646960.0,601288
2021-02-04,4.71,4.72,4.73,4.7,1889950,594794160.0,601288
2021-02-05,4.72,4.76,4.78,4.71,4373978,1392368560.0,601288
2021-02-08,4.76,4.75,4.77,4.73,2829754,900743200.0,601288
2021-02-09,4.74,4.73,4.75,4.71,3154992,995369488.0,601288
2021-02-10,4.74,4.78,4.8,4.73,3892936,1246597472.0,601288
2021-02-18,4.81,4.79,4.83,4.78,3714034,1201778128.0,601288
2021-02-19,4.79,4.8,4.81,4.78,2358213,761089424.0,601288
2021-02-22,4.81,4.83,4.84,4.78,4032663,1308227168.0,601288
2021-02-23,4.82,4.82,4.86,4.81,4059097,1325090624.0,601288
2021-02-24,4.82,4.79,4.83,4.79,3175614,1028278384.0,601288
2021-02-25,4.8,4.84,4.84,4.8,3097093,1006812000.0,601288
2021-02-26,4.82,4.83,4.85,4.81,3808858,1243933936.0,601288
2021-03-01,4.83,4.82,4.85,4.81,2157372,702767264.0,601288
2021-03-02,4.83,4.78,4.83,4.78,2561371,826614800.0,601288
2021-03-03,4.78,4.85,4.86,4.78,3645786,1189810848.0,601288
2021-03-04,4.84,4.87,4.9,4.84,4531854,1496531104.0,601288
2021-03-05,4.87,4.92,4.93,4.86,4377774,1455744992.0,601288
2021-03-08,4.93,4.93,4.97,4.9,4568228,1541819600.0,601288
2021-03-09,4.94,4.9,4.98,4.9,3879302,1306684000.0,601288
2021-03-10,4.9,4.93,4.94,4.88,2067068,690845344.0,601288
2021-03-11,4.95,4.95,5.0,4.91,3986710,1351246160.0,601288
2021-03-12,4.94,4.95,4.97,4.91,2227469,750899728.0,601288
2021-03-15,4.95,4.99,5.01,4.93,3109148,1060902768.0,601288
2021-03-16,4.99,4.98,5.01,4.96,2180458,745458064.0,601288
2021-03-17,4.97,4.97,4.98,4.92,2241013,757567088.0,601288
2021-03-18,4.96,4.96,4.99,4.95,1750022,594572048.0,601288
2021-03-19,4.96,4.91,4.98,4.89,2695439,904510480.0,601288
2021-03-22,4.91,4.96,4.96,4.9,2098326,707819488.0,601288
2021-03-23,4.96,4.96,4.99,4.93,1768610,599073408.0,601288
2021-03-24,4.96,4.97,4.97,4.93,2236547,756465216.0,601288
2021-03-25,4.97,4.91,4.98,4.91,2326179,784273776.0,601288
2021-03-26,4.92,4.9,4.93,4.88,2139061,712846272.0,601288
2021-03-29,4.89,4.95,4.96,4.88,2520925,845565824.0,601288
2021-03-30,4.95,4.95,4.96,4.92,2076789,699563312.0,601288
2021-03-31,4.94,4.97,4.97,4.93,2156340,728751728.0,601288
2021-04-01,4.97,4.95,4.97,4.94,1319271,446596000.0,601288
2021-04-02,4.95,4.92,4.96,4.9,2228531,746448640.0,601288
2021-04-06,4.91,4.91,4.92,4.9,989615,329969712.0,601288
2021-04-07,4.9,4.92,4.92,4.88,1794959,597906576.0,601288
2021-04-08,4.91,4.91,4.92,4.9,1368786,457078816.0,601288
2021-04-09,4.91,4.93,4.93,4.9,1689939,565661120.0,601288
2021-04-12,4.93,4.97,4.97,4.92,1926942,651566896.0,601288
2021-04-13,4.97,4.96,4.98,4.94,1740652,589527680.0,601288
2021-04-14,4.96,4.92,4.96,4.91,1699212,570667952.0,601288
2021-04-15,4.91,4.92,4.93,4.9,1291511,431303920.0,601288
2021-04-16,4.92,4.92,4.93,4.91,867744,290948496.0,601288
2021-04-19,4.92,4.92,4.94,4.91,1571886,526956224.0,601288
2021-04-20,4.92,4.9,4.92,4.9,1609638,537071344.0,601288
2021-04-21,4.9,4.9,4.91,4.89,1113391,370964368.0,601288
2021-04-22,4.91,4.87,4.91,4.86,1922219,635994448.0,601288
2021-04-23,4.87,4.83,4.88,4.83,2007128,657527616.0,601288
2021-04-26,4.84,4.81,4.85,4.81,1834030,596824720.0,601288
2021-04-27,4.81,4.8,4.82,4.79,1350031,436020176.0,601288
2021-04-28,4.81,4.79,4.81,4.78,1596445,513947760.0,601288
2021-04-29,4.79,4.8,4.81,4.78,2852282,920097888.0,601288
2021-04-30,4.8,4.77,4.81,4.76,2602852,834869088.0,601288
2021-05-06,4.77,4.78,4.79,4.77,1526101,490538704.0,601288
2021-05-07,4.78,4.82,4.83,4.78,2206651,713876480.0,601288
2021-05-10,4.82,4.81,4.82,4.79,1505542,487477200.0,601288
2021-05-11,4.81,4.83,4.84,4.8,1618163,526391648.0,601288
2021-05-12,4.82,4.84,4.85,4.81,1319707,430882768.0,601288
2021-05-13,4.83,4.84,4.84,4.82,1058381,344811776.0,601288
2021-05-14,4.84,4.86,4.86,4.83,1418803,464528208.0,601288
2021-05-17,4.85,4.84,4.86,4.83,1512399,495123568.0,601288
2021-05-18,4.84,4.82,4.84,4.81,1701609,552730944.0,601288
2021-05-19,4.82,4.81,4.82,4.8,1553719,503004288.0,601288
2021-05-20,4.81,4.82,4.83,4.8,1590669,516593168.0,601288
2021-05-21,4.82,4.81,4.83,4.8,1175338,381308672.0,601288
2021-05-24,4.81,4.81,4.82,4.8,930928,301950240.0,601288
2021-05-25,4.82,4.84,4.85,4.81,3820642,1246905952.0,601288
2021-05-26,4.84,4.85,4.86,4.83,2366461,774875776.0,601288
2021-05-27,4.85,4.84,4.86,4.84,1729847,566782064.0,601288
2021-05-28,4.85,4.85,4.86,4.83,2095581,686023456.0,601288
